 [deleted], [deleted],
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid.",
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)",
%1 / %2 rate:,%1 / %2 rate:,
%1 was updated in your quote.,%1 was updated in your quote.,
"<span class=""label"">Quote Request Date:</span> %1","<span class=""label"">Quote Request Date:</span> %1",
A PDF object is not specified.,A PDF object is not specified.,
A PDF page object is not specified.,A PDF page object is not specified.,
About Your Quote,About Your Quote,
Accept & Checkout,Accept & Checkout,
Account Information,Account Information,
Add Button on Category Page,Add Button on Category Page,
Add Button on Detail Page,Add Button on Detail Page,
Add Products,Add Products,
Add to Cart,Add to Cart,
Add to Compare,Add to Compare,
Add to Quote,Add to Quote,
Add to Wish List,Add to Wish List,
Adding to Quote...,Adding to Quote...,
Address Information,Address Information,
An item object is not specified.,An item object is not specified.,
Append Comments,Append Comments,
Apply Coupon Code,Apply Coupon Code,
Apply Subtotal Proposal,Apply Subtotal Proposal,
Are you sure? This quote will be canceled and a new one will be created instead.,Are you sure? This quote will be canceled and a new one will be created instead.,
as percentage,as percentage,
Back to My Quote,Back to My Quote,
Billing Address,Billing Address,
Buy %1 for price %2,Buy %1 for price %2,
Canceled," ""Canceled""",
"Canceled, Out of Stock"," ""Canceled"," Out of Stock"""
Cannot save comment:\n%1,Cannot save comment:\n%1,
Change Request,Change Request,
city," ""City""",
Clear Quote,Clear Quote,
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping.",
Click to change shipping method,Click to change shipping method,
Closed," ""Closed""",
Comment added,Comment added,
Comments History,Comments History,
company," ""Company""",
"Completed, Ordered"," ""Completed"," Ordered"""
"Completed, Proposal sent"," ""Completed"," Proposal sent"""
Continue Shopping,Continue Shopping,
Copy to Quotation,Copy to Quotation,
Cost Price,Cost Price,
country_id," ""Country""",
Create New Order/Quote for %1 in %2,Create New Order/Quote for %1 in %2,
Create New Order/Quote for %1,Create New Order/Quote for %1,
Create New Order/Quote for New Customer in %1,Create New Order/Quote for New Customer in %1,
Create New Order/Quote for New Customer,Create New Order/Quote for New Customer,
Create New Quote,Create New Quote,
Create Order,Create Order,
Create Quote,Create Quote,
Customer Group,Customer Group,
Customer Lastname,Customer Lastname,
Customer Middlename,Customer Middlename,
Customer Name,Customer Name,
Customize and Add to Cart,Customize and Add to Cart,
Customize and Add to Quote,Customize and Add to Quote,
Default is Quotable Setting,Default is Quotable Setting,
Discount (%1),Discount (%1),
Discount Price,Discount Price,
Display Quotation Cart Sidebar,Display Quotation Cart Sidebar,
Do you have a general remark with this Quote Request?,Do you have a general remark with this Quote Request?,
Edit Order,Edit Order,
Edit Order/Quote #%1,Edit Order/Quote #%1,
Email quote Confirmation,Email quote Confirmation,
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected.",
Exception occurred during quote load,Exception occurred during quote load,
Excl. Tax,Excl. Tax,
fax," ""Fax""",
firstname," ""First Name""",
From Name,From Name,
Frontend Quotation Visibility,Frontend Quotation Visibility,
Get shipping methods and rates,Get shipping methods and rates,
Gift Message for the Entire Quote,Gift Message for the Entire Quote,
Gift Message for this Quote,Gift Message for this Quote,
Gift Message,Gift Message,
